title,release,duration,genres
Beyond the Clouds,2018,120,Dramas
Beyond the Gates,2016,82,Horror Movies
Bharya Athra Pora,2013,131,Dramas
Bhavesh Joshi Superhero,2018,150,Crime Dramas
Bhool Bhulaiyaa,2007,148,Bollywood Movies
Bhoopadathil Illatha Oridam,2012,112,Comedies
Bhoothnath,2008,129,Children & Family Movies
Bhouri,2017,123,Dark Movies
Bianca come il latte rossa come il sangue,2013,102,Comedies
Bibi & Tina,2014,97,Animal Tales
Bibi & Tina II,2014,105,Animal Tales
Bibi & Tina: Girls Versus Boys,2016,107,Animal Tales
Bibi & Tina: Tohuwabohu Total,2017,106,Children & Family Movies
Big Bang,2007,116,Action & Adventure
Big Bear,2017,87,Comedies
Big Brother,2007,128,Action & Adventure
Big Eyes,2014,106,20th Century Period Pieces
Big Miracle,2012,107,20th Century Period Pieces
Big Time,2017,90,Biographical Documentaries
Big Voice,2015,83,Documentaries
Big in Bollywood,2011,75,Biographical Documentaries
Bigfoot,1997,50,British Movies
Bigger Fatter Liar,2017,95,Children & Family Movies
Biggie & Tupac,2002,108,Biographical Documentaries
Bill Burr: I'm Sorry You Feel That Way,2014,81,Comedies
Bill Burr: Let It Go,2010,65,Comedies
Bill Burr: Walk Your Way Out,2017,78,Comedies
Bill Burr: You People Are All the Same,2012,69,Comedies
Bill Nye: Science Guy,2017,97,Biographical Documentaries
Billa,2007,126,Action & Adventure
Billu,2009,132,Bollywood Movies
Billy Madison,1995,90,Comedies
Bilu Rakkhosh,2017,127,Dramas
Bioscope,2015,131,Dramas
Bir Baba Hindu,2016,107,Action & Adventure
Birdshot,2016,116,Crime Dramas
Birth of a Movement,2017,55,Documentaries
Birthday,2015,49,British Movies
Birthmarked,2018,88,Canadian Movies
Bitch,2017,97,Comedies
Bitcoin Heist,2016,116,Action & Adventure
Bittoo Boss,2012,117,Bollywood Movies
Black Butterfly,2017,93,Dramas
Black Dynamite,2009,84,Action & Adventure
Black Man White Skin,2015,79,Documentaries
Black Panther,2018,135,Action & Adventure
Black Road,2016,81,Independent Movies
Black Rose,2014,83,Action & Adventure
Black Site Delta,2017,88,Action & Adventure
Black Snow,2017,91,Crime Dramas
Black Souls,2014,108,Crime Dramas
Blackfish,2013,83,Critically-acclaimed Movies
Blackout,2013,71,British Movies
Blade,1998,120,Action & Adventure
Blade II,2002,117,Action & Adventure
Blazing Saddles,1974,93,Classic Comedies
Bleach,2018,109,Action & Adventure
Bleach The Movie: Fade to Black,2008,94,Action & Adventure
Bleach the Movie: Hell Verse,2010,94,Action & Adventure
Bleed,2016,80,Dark Movies
Blessed Benefit,2016,83,Comedies
Blind Date,2015,91,Comedies
Blindsided,2013,85,Crime Dramas
Blinky Bill: The Movie,2015,91,Adventures
Blockbuster,2017,85,Comedies
Blood Money,2012,110,Bollywood Movies
Blood Money,2017,85,Action & Adventure
Blood Stripe,2016,86,Critically-acclaimed Movies
Blood and Bone,2009,93,Action & Adventure
Blood in the Water,2016,92,Crime Dramas
Blood on the Mountain,2016,93,Critically-acclaimed Movies
Blue Caprice,2013,93,Crime Dramas
Blue Crush,2002,104,Dramas
Blue Gold: American Jeans,2014,98,Documentaries
Blue Is the Warmest Color,2013,180,Critically-acclaimed Movies
Blue Jasmine,2013,98,Critically-acclaimed Movies
Blue Jay,2016,81,Critically-acclaimed Movies
Blue Mountain State: The Rise of Thadland,2016,90,Comedies
Blue Valentine,2010,112,Critically-acclaimed Movies
Bluebeard,2017,117,Crime Movies
Blurred Lines: Inside the Art World,2017,85,Canadian Movies
Bo Burnham: Make Happy,2016,60,Comedies
Bo Burnham: what.,2013,60,Comedies
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,2014,26,Adult Animation
Bob's Broken Sleigh,2015,47,Animated
Bobbi Jene,2017,99,Biographical Documentaries
Bobby Sands: 66 Days,2016,106,Critically-acclaimed Movies
Bodyguard,2011,130,Action & Adventure
Bodyguards: Secret Lives from the Watchtower,2016,92,Canadian Movies
Bogus,1996,112,Children & Family Movies
Bokeh,2017,92,Dark Movies
Bolt,2008,99,Adventures
Bomb Scared,2017,89,Comedies
Bombay Talkies,2013,123,Bollywood Movies
Bombshell,2016,86,Crime Dramas
